cs_number,title,url
44,How Caravel Logistics Improved their Productivity using Google Workspace,https://www.searce.com/cs-44-detail
45,How BU Bhandari Integrated Seamless Workspace Solutions for Better Management,https://www.searce.com/cs-45-detail
46,How Footballco Shifted to Google Workspace to Work More Efficiently With Enhanced Security,https://www.searce.com/cs-46-detail
50,Searce Grows Cloud Migration Business with AWS and Intel,https://www.searce.com/cs-50-detail
51,Yaantra partners with Searce & Google Cloud to help consumers with a single window stopover for smart gadgets in India,https://www.searce.com/cs-51-detail
52,Indus OS: Powering AWS-Curated Solutions through Searce for an Intuitive End-User Experience,https://www.searce.com/cs-52-detail
53,"Aruba leverages AWS, DevOps tools to build, deploy and manage EKS Services",https://www.searce.com/cs-53-detail
54,Vyapar: Rearchitecturing the solution to reduce latency and optimize performance with Searce and AWS,https://www.searce.com/cs-54-detail
55,"Product Development Tech Solutions Company Leverages Searce Expertise and AWS Technologies to Ensure Scalable, Cost-Effective and Secure Deployments",https://www.searce.com/cs-55-detail
56,Prime Captain Prioritizes Innovation and Ensures Smooth Scaling with Searce and AWS,https://www.searce.com/cs-56-detail
57,"Mindvalley Achieves Improved CI/CD, Automation and Better Security After Migrating to Google Cloud",https://www.searce.com/cs-57-detail
58,How Searce Helped Truegy Automate Deployment and Achieve Cost Optimization,https://www.searce.com/cs-58-detail
59,Searce Helps IIT Madras Leverage Scalable Infrastructure and Achieve Lean Response Time,https://www.searce.com/cs-59-detail
60,Floweraura Transforms their Business with Searce and AWS by Leveraging Data Analytics,https://www.searce.com/cs-60-detail
61,Searce Helps Harappa to Encrypt Data at Rest and Data at Transit of the MongoDB Atlas Database,https://www.searce.com/cs-61-detail
62,How Searce Helped Sun Valley International School Leverage Google for Education to Adopt a Collaborative Education System,https://www.searce.com/cs-62-detail
63,Aruba Leverages AWS CloudFront to Reduce the Application Latency and Improve the Overall Web Application Security,https://www.searce.com/cs-63-detail
64,Prime Captain Prioritizes Innovation and Ensures Smooth Scaling with Searce and AWS,https://www.searce.com/cs-64-detail
65,"Vyapar: ReArchitect for High Availability, Migrating Databases from On-Prem Servers to RDS-MySQL",https://www.searce.com/cs-65-detail
66,"Europ Assistance: RePlatforming, Migrating Databases from On-Prem Servers to RDS-MySQL",https://www.searce.com/cs-66-detail
67,How Searce Empowered SouthEast Asia's Biggest E-Commerce Retailer to Build and Maintain a Scalable and Resilient Middleware System,https://www.searce.com/cs-67-detail
68,MPOWER Modernizes the Data Analytics Platform with Searce and AWS by Leveraging AWS Data Analytics Services,https://www.searce.com/cs-68-detail
69,USV Leverages AWS Data Lake for Analytics and Business Insights,https://www.searce.com/cs-69-detail
70,Learn How Searce Assisted Ayoconnect in Accommodating a One-thousand-fold Surge in Apigee API Hits,https://www.searce.com/cs-70-detail
71,AlphaGrep: Migrating and Deploying a Highly Available Enterprise Grade Environment in AWS,https://www.searce.com/cs-71-detail
72,Xeno Runs Their AI Powered CRM Through the Infrastructure and Apps Hosted on AWS,https://www.searce.com/cs-72-detail
73,Europ Assistance Leverages AWS Infrastructure to Meet Their Regulatory Compliances for Application and Database Hosting to Offer Their End Customers Uninterrupted Services,https://www.searce.com/cs-73-detail
74,"A Geo-Spatial Analytical Industry Leader Modernized Their Applications Landscape to be Agile, Resilient and Scalable With the Help of AWS Native Services",https://www.searce.com/cs-74-detail
75,India's Leading Logistics Company Migrated SAP Data Analytics Workloads on AWS to Improve Consignment Level Business Insights,https://www.searce.com/cs-75-detail
76,Searce's Solution Helped EPL to Perform Cost Effective IoT & SAP Data Analytics on AWS,https://www.searce.com/cs-76-detail
77,Healthians Leverages AWS Data Analytics Services for Health Test Product Recommendations to Improve the Business,https://www.searce.com/cs-77-detail
78,GOQii Enhanced their Data and Analytics Platform on AWS - Advanced Analytics with Searce,https://www.searce.com/cs-78-detail
79,CoinDCX Effortlessly Built Automated API Based ETL Pipelines and Streamlined Data Management on AWS,https://www.searce.com/cs-79-detail
80,"Aruba Secures Their AWS Workloads Using Service AWS WAF, a Fully Managed Web Application Firewall",https://www.searce.com/cs-80-detail
81,How Vyapar Reduced the Attack Surface and Improved Their Overall Security Posture by Leveraging AWS WAF,https://www.searce.com/cs-81-detail
82,How Searce Helped Ryde Technologies Enhance Customer Experience and Drive Growth in New Markets,https://www.searce.com/cs-82-detail
83,"Floweraura Leverages Searce Expertise to Ensure Scalable, Cost-effective and Secure Deployment for Business Intelligence Tool on AWS",https://www.searce.com/cs-83-detail
84,How Guide to Iceland Improved Tourists' Experience Leveraging the Best of Google Maps Platform with Searce,https://www.searce.com/cs-84-detail
85,Searce Helped Kissht Drive Business Agility by Using AWS EKS Services,https://www.searce.com/cs-85-detail
86,Searce Helped Razor Group by Leveraging AWS Lambda Which Helped Them Increase the Scalability and Efficiency,https://www.searce.com/cs-86-detail
87,Searce Helped Armstrong Fluid Technologies Leverage Google Maps APIs to Optimize Their Operations Globally,https://www.searce.com/cs-87-detail
88,Scribendi: Transforming Online Editing and Proofreading Services with Google Cloud and Searce,https://www.searce.com/cs-88-detail
89,"Searce Transforms Success Resources' GCP Architecture to Increase Security, Operational Efficiency, and Reliability",https://www.searce.com/cs-89-detail
90,Nikel Partners with Searce to Optimize GCP Infrastructure,https://www.searce.com/cs-90-detail
91,IndiaFirst Life Works With Searce to Achieve IT Infrastructure Transformation,https://www.searce.com/cs-91-detail
92,Driving Logistics Innovation with Searce & Google Cloud,https://www.searce.com/cs-92-detail
93,Searce Helps Razor Group Leverage the Best of AWS with DynamoDB,https://www.searce.com/cs-93-detail
94,How Searce Helped Aruba Modernize their Databases with AWS DynamoDB,https://www.searce.com/cs-94-detail
95,Making the Switch: Manjha's Journey to AWS Graviton,https://www.searce.com/cs-95-detail
96,Searce Empowers Leading Global Steel Manufacturer with Real-Time Data Insights,https://www.searce.com/cs-96-detail
97,Searce Modernizes Data Infrastructure for a Century-Old US-Based Community Bank,https://www.searce.com/cs-97-detail
98,How Searce Engineered Zilch's 6-Week Rapid Deployment with Apigee for Multi-Cloud IT Success,https://www.searce.com/cs-98-detail
99,From Cost Strain to Scalable Growth: How Searce Helped GivePanel Conquer Their Cloud Challenges,https://www.searce.com/cs-99-detail
100,How Searce Helped SourseAI Unlock Growth Potential With Google Cloud,https://www.searce.com/cs-100-detail
101,Searce Helps India's Leading Multiplex Chain achieve Data-Driven Growth,https://www.searce.com/cs-101-detail
102,"How Searce Helped Toorak Capital Achieve Scalability, Efficiency, and Security through Cloud Optimization",https://www.searce.com/cs-102-detail
103,From Legacy Databases to Real-Time Growth: How Searce Helped a FinTech Giant Unlock Potential,https://www.searce.com/cs-103-detail
104,Searce Helps Kaebox Leverage Google Maps Platform to Elevate Delivery Experience,https://www.searce.com/cs-104-detail
105,Beyond Upgrades: A Strategic Approach to Insurun's Cloud Infrastructure with Searce,https://www.searce.com/cs-105-detail
106,Searce Drives Efficiency and Innovation for Fintech Leader Finder,https://www.searce.com/cs-106-detail
107,Boosting Profitability and Customer Acquisition for a Leading Photo Sharing Platform,https://www.searce.com/cs-107-detail
108,Empowering a Leading Healthcare Provider Boost Customer Satisfaction by 60% with GenAI,https://www.searce.com/cs-108-detail
109,Revving Up Efficiency: Leading Vehicle Inspection App Slashes Training Times by 46% with A100 GPUs for Faster Automotive AI,https://www.searce.com/cs-109-detail
110,Revolutionizing Rentals with GenAI-powered Search for 35% Increased Conversions,https://www.searce.com/cs-110-detail
111,Searce Optimizes Finclude's Cloud Infrastructure to Achieve 20% Cost Reduction,https://www.searce.com/cs-111-detail
112,Searce Helps Indonesian Manufacturing Giant Achieve a 50% Boost to Performance and 30% Cost Savings,https://www.searce.com/cs-112-detail
113,Searce Helps Static Media Increase Content Throughput by 3.5x with AI-Powered Efficiency,https://www.searce.com/cs-113-detail
114,Empowering 50% Faster Drug Discovery with Automated Protein Analysis for a Leading Biotech,https://www.searce.com/cs-114-detail
115,Accelerating Loan Closings with AI-powered Document Processing for a Leading Mortgage Platform to Achieve 99% Accuracy,https://www.searce.com/cs-115-detail
116,Video Platform Provider Safeguards Live Streams and Reduces Review Time by 60% with AI-powered Content Moderation,https://www.searce.com/cs-116-detail
117,"Searce Delivers Flawless Cloud Integration for a Blockchain Innovator, Flare - in a Record Four Weeks",https://www.searce.com/cs-117-detail
118,Enabling Preventive Maintenance for a Global Steel Manufacturer,https://www.searce.com/cs-118-detail
119,Tabsquare and Searce: Scaling Up with Google Cloud to Deliver Seamless Ordering Experiences and Ensure 100% Uptime,https://www.searce.com/cs-119-detail
120,Empowering New Businesses with GenAI-Driven Logo Creation for a Legal Service Provider,https://www.searce.com/cs-120-detail
121,AI-Powered Moderation: Social Media Management Tool Speeds Up Content Review Accuracy by 70%,https://www.searce.com/cs-121-detail
122,Enterprise Data Modernization on AWS for a Large Telecom Conglomerate,https://www.searce.com/cs-122-detail
123,From Silos to Savings: Searce Helps Retail Giant Centralize Data and Cuts Costs by 20%,https://www.searce.com/cs-123-detail
124,Searce helps Omnichannel Retail Leader Boost E-Commerce with Automated Image Metadata Generation using AWS,https://www.searce.com/cs-124-detail
125,Searce Enables Manufacturing Industry Leader to Leverage AWS GenAI and Elevate Customer Query Handling,https://www.searce.com/cs-125-detail
126,Searce Empowers Financial Advisors: Revolutionizing Client Service with AI-Powered Document Retrieval,https://www.searce.com/cs-126-detail
127,From Siloed to Scalable: How Paxel Achieved 20% Enhanced Efficiency and Ensured 99.5% On-Time Delivery with Searce and Google Cloud,https://www.searce.com/cs-127-detail
128,PasaJob saves 62% on Cloud Costs with Searce-led Google Cloud Migration,https://www.searce.com/cs-128-detail
129,Transforming Payment Security with Searce and AWS for Enhanced Protection and Trust,https://www.searce.com/cs-129-detail
130,Searce Strengthens Security and Ensures Compliance for Insurance and Financial Advisors with Cutting-Edge Solutions on AWS,https://www.searce.com/cs-130-detail
131,Searce helps Redcliffe Labs Improve the Cloud Security Posture Through the Use of Google Cloud Native Security Services,https://www.searce.com/cs-131-detail
132,Searce Empowers RentalMatics' Global Growth with Cloud Solutions,https://www.searce.com/cs-132-detail
133,Searce Empowers SmartPay to Cut Cloud Costs by 40% with Custom Billing Dashboard,https://www.searce.com/cs-133-detail
134,How Remitano Transformed its Data Timeliness by Reducing Query Speeds by 8 Hours,https://www.searce.com/cs-134-detail
135,Searce Enables Leading Australian Mortgage & Finance Brokerage to Process 3x More Documents with GenAI,https://www.searce.com/cs-135-detail
136,Searce brings an AI-Powered Edge to a leading Logistics and Supply Chain Analytics Platform,https://www.searce.com/cs-136-detail
137,Transforming the Workplace: Seamless Content Management and Next-Gen Collaboration Tools,https://www.searce.com/cs-137-detail
138,"Big Savings, Bigger Scale: Pharma Giant's Move from IBM Netezza to Google Cloud BigQuery",https://www.searce.com/cs-138-detail
139,"Namma Yatri Builds Trust with 10 Million Users, in Partnership with Searce and Google Maps",https://www.searce.com/cs-139-detail
