Company / Client Name,Region,Industry Name,Service Name,Case Study Title,One-Line Summary / Core Focus,Business Context,Solution,Business Impact & Key Metrics,Tech Stack
Xeno,APAC,Financial Services & Insurance (FSI),Cloud Modernization,Migration from Azure to AWS & cost optimisation,EKS autoscaling and Jenkins automation setup for Kubernetes workloads.,To handle the traffic they configured the high specification instances. Manual Deployment for Kubernetes Workloads.,AutoScaling at EKS. Memory-optimized instances for better performance and lower cost. Implemented Jenkins to automate the Deployment Kubernetes workloads.,Added More Security. Reduced costs.,"AWS EKS, Jenkins, Grafana, Prometheus"
Martha's Vineyard Bank,AMER,Financial Services & Insurance (FSI),Cloud Modernization,Google Cloud Deployment,Apigee EVAL solution migration to Apigee X PAYG.,"Establish a foundational Google Cloud environment in accordance with best practices for security, networking, IAM, and relevant infrastructure components. Conduct a migration of the existing Apigee EVAL solution to the permanent APIGEE X PAYG solution.","Created a host project and two service projects (prod, non-prod) for networking using terraform. Provisioned Apigee X with two instances (one instance as a failover) in the specified regions. Migrated Apigee Eval to Apigee X(PAYG) dev environment. Deployed Cloud armor for Apigee security.","The migration of entities like proxies, sharedFlows, products, developers, apps, dataCollectors, KVMS from Apigee EVAL to Apigee X(PAYG) was seamless.","Apigee X, Terraform, Cloud Armor"
OneAssist,APAC,Financial Services & Insurance (FSI),Cloud Modernization,BCE & CIP Procurement & Implementation,BeyondCorp Enterprise deployment for Zero Trust model.,"One Assist Applications are hosted on AWS and using SaaS for their business needs would like to implement BeyondCorp Enterprise (BCE). Eliminate the use of 3rd Party VPN connection to access their Applications. OneAssist to follow the Zero Trust security practices, Reliable and future proof in terms of secure access of Applications.",Deployed BCE connectors for Apps from AWS and Saas to be protected with BCE. Restrict access based upon context aware proxy was implemented. Established private connectivity between Site to Site (cloudVPN). IAP for Cloud Applications access control has been setup & BeyondCorp Enterprise App connector installed on AWS Cloud.,Secure Application access & safeguard from online attackers (without having user level VPN connectivity). Context Aware access for Company owned devices as well as Unmanaged Individual user devices. Applications and User SSO login controlled via BeyondCorp Enterprise Zero Trust Access control.,"BeyondCorp Enterprise, IAM, VMware Engine, Cloud VPN, IAP"
Europ Assistance,APAC,Financial Services & Insurance (FSI),Cloud Modernization,EA DRSA - Migration,Landing Zone creation and security layered multi-AZ environment deployment.,Europ Assistance provides travel Assistance and Insurance covering over 200 countries. Customer applications are hosted on ECS and all are publicly accessible and they want their application to be secure and PCI DSS compliance. Customer also want to upgrade their application with latest softwares. They want to migrate their applications to an environment which is more secure and cost effective.,"Created Landing Zone architecture and separated all of their applications into different accounts. Implemented all the security features like AWS WAF, Network Firewall, KMS, ACM, SG's to secure all of the applications. Created the layer wise architecture for security and High Availability(3-tier). Deployed resources in Multi-AZ for HA.","With Landing Zone implementation Europ Assistance workloads got more security. Added different layers of security in their architecture like WAF, Network Firewall, KMS, Security Groups etc to secure their infrastructures. Provided HA to the workloads with Multi-AZ. Prevented data access of unauthorized person or entity by enabling the encryption of data at transit and rest.","AWS ECS, AWS WAF, Network Firewall, KMS, Route 53, VPC, EC2, RDS"
Yubi Spocto,APAC,Financial Services & Insurance (FSI),Cloud Engineering,Digital Debt platform Cloud Agnostic on GCP,AWS to GCP migration for GKE components to meet compliance.,Al-Enabled Global Leader in Digital debt collection. Yubi Spocto is a debt collection platform which banks can leverage for their loan collection process. Yubi-Spocto wanted to migrate their app into GCP with an objective of being cloud agnostic. Smartcollect is single tenant app which is created for each bank. Multi-tenant modules enabling the debt collection lifecycle.,"GCP infrastructure as per best practices using IaaC. Multi to Single VPC approach for GCP. CICD pipeline using Jenkins & ArgoCD. Deployed Kafka, HashiCorp & Memorystore Redis on GKE so as to have connectivity of On Premise Users of Spocto. Deployed Mongodb on GCP VM. Migrated data from AWS RDS to GCP Cloud SQL via Backup and Restore.","Single VPC approach made GCP Architecture simple and scalable. Deployment of key components like Kafka, HashiCorp, MongoDB & Memorystore on GKE resulted in achieving Compliance need of Spocto Business use case. GCP Infrastructure cloud agnostic and onboarding additional customers.","Terraform, GKE, Kafka, Memorystore Redis, Cloud SQL, Cloud Storage, MongoDB"
Kogta,APAC,Financial Services & Insurance (FSI),Data & Analytics,AWS Data Platform Migration,AWS data lake migration to enable near real-time analytics offloaded from Aurora RDS.,"Used AWS Aurora RDS for transactional workloads. To enable scalable analytics, reporting was offloaded to AWS Redshift. Redshift is now the centralized reporting layer, supporting real-time dashboards and advanced queries. This separation improved performance, scalability, and data accessibility for business users.","Aurora RDS data streamed to raw layer via AWS DMS for near real-time replication with minimal downtime. Raw data converted to Hudi format for cdc, pushed to Athena for efficient incremental processing. ETL workflows automated using AWS Step Functions, integrating Lambda and PySpark jobs on EMR. End-to-end data validation and monitoring ensured integrity, reliability.","Near real time data generation of reports which were available at redshift store procedures, tables & views. Optimized EMR clusters for cost and Performance. Option of querying data on raw layer gave an option to debug in case of any data discrepancy found at Hudi layer. Migrated incremental data from ~125 transactional tables [RDS to Redshift] every 30 mins.","AWS Aurora, AWS Redshift, AWS DMS, Apache Hudi, Amazon Athena, AWS Step Functions, AWS Lambda, Amazon EMR, Amazon S3"
Oakbrook Finance,EMEA,Financial Services & Insurance (FSI),Data & Analytics,Oakbrook-Databricks Migration on GCP,Migration of Azure-hosted Databricks environment and workloads to GCP.,Oakbrook Finance runs a multi-cloud environment in Microsoft Azure and Google Cloud Platform (GCP). Oakbrooks finds it cumbersome to have two separate platforms for data management in Azure and GCP for their applications.,Discovery & Assessment for migration activities. Migrate Azure hosted Databricks environment to GCP. Migrate Azure SQL database instances & Workloads to a GCP hosted Databricks environment. Migration of Azure Event Landing to GCP.,"Data Platform and Application platform are on same cloud platform, maintenance has become easier. Compute and Operational cost dropped down drastically.","Databricks, Azure SQL, Google Cloud Platform"
Toorak Capital,AMER,Other Industries,Cloud Modernization,AWS to Google Cloud Data Warehouse Migration toorakcapital.com,"Toorak Capital is an integrated correspondent lending platform, It acquires business purpose loans backed by residential & mixed-use properties","Toorak Capital initiates a migration project aimed at optimizing operational efficiency & costs It aims to streamline workflows, enhance scalability & reduce overhead costs compared to their existing AWS infrastructure The move aligns with Toorak's strategic goals of staying agile & competitive in business landscape Client wanted to prevent unauthorized access to avoid compromise of sensitive data","Used transient Dataproc clusters to optimize resource utilization & improve ease of maintenance Cluster orchestrated by workflows to start & stop as needed, preventing unnecessary operational charges Workflow framework designed with reusable modules Implemented an additional security layer by using API gateway to call Function URLs. Airbyte was used alongside Datastream for seamless data integration","Platform Tech Stack Transient clusters resulted in performance optimization,ensuring efficient data processing & cost reduction Modularied Workflow framework simplified the creation and maintenance process Workflows Cloud Datastream Dataproc BigQuery Serverless architecture reduced infrastructure cost Functions Searce's Data Validation tool & automated testing framework improved speed of the validation process. API Gateway to provided an additional layer of protection Pub/Sub API Gateway Cloud Cloud Storage Scheduler Institutional Capital Provider | Data & Analytics","speed of the validation process. API Gateway to provided an additional, Pub/Sub API Gateway Cloud Cloud"
Arcus,AMER,Financial Services & Insurance (FSI),Data & Analytics,Data led Insights for a Payments-as-a-Service,Connecting Salesforce data with BigQuery and Looker for real-time dashboards.,"Arcus is the Payments-as-a-Service helping every business make payments accessible for every consumer, across the Americas. Arcus has a good amount of incoming customer data which is not being utilized efficiently for the business.","Provided support in connecting Salesforce data with BigQuery using Fivetran. Integrated Looker with BigQuery and built 8 visualizations in the dashboard related to Churn Rate, Annual Recurring Revenue, etc. Leveraged Looker capabilities to create interactive dashboard that depicts critical business KPIs. Showcased Looker capabilities and user training to the business users.",Better and intuitive customer experience. Real-time analytics and quick decision making. Modernized dashboards and analytics framework for their operational and strategic reporting.,"BigQuery, Looker, Fivetran, Salesforce"
Walnut,APAC,Financial Services & Insurance (FSI),Data & Analytics,Leveraging Serverless to Save Time and Scale Easily,Google App Engine and Datastore utilization for a scalable expense app.,Walnut wanted to build their expense management application ground up on a scalable platform. They wanted a robust scalable database in the backend which could store NoSQL type of data.,Google App Engine as the PaaS for building the mobile Application. Datastore in tandem with Google App Engine as the backend NoSQL database. BigQuery to process the end user data to provide insights on their expenses.,"Google App Engine is a developer friendly platform, which helped them build and ship their mobile app to the market very easily. Easily scalable based on the traffic. Datastore helps them perfectly handle the NoSQL data with ease.","Google App Engine, Datastore, BigQuery"
Centioi,EMEA,Financial Services & Insurance (FSI),Data & Analytics,Faster Insights and Business Agility using BQ,Modernizing Greenplum on-prem infrastructure to BigQuery and GKE.,Client needed to modernise the existing DWH (Greenplum) due to end of life & limited support. Modernise their existing on-prem infra to eliminate the maintenance overhead & improve operational efficiency.,Provided modern architecture for Infra & data layer enabled through GKE and Big Query. Application Layer was hosted on GKE to leverage cost savings & operational efficiencies.,Time to insights has improved significantly with BQ. Increase in developer productivity with migration to GKE. Better business agility shifting from a Capex to an Opex model.,"Google Kubernetes Engine, BigQuery, Greenplum"
Recvue,AMER,Financial Services & Insurance (FSI),Data & Analytics,Modernizing DWH for Faster Reports,Ingesting data from Oracle 12c to BigQuery via GoldenGate for batch reporting.,Recvue currently has its production database on Oracle 12c. The production instance hosts multiple databases one per each customer. Recvue's reporting requirements are batch in nature and some of the reports on Oracle take a long time to render. RecVue partnered with Searce to explore data services available on GCP and build a data warehouse to serve batch reports and also build a prediction model on BigQuery.,Configured Oracle Golden Gate and ingested data from Oracle to BigQuery. Converted the PL/SQL code from Oracle to BigQuery SQL dialect. Built stored procedures and views for reports on BigQuery. Data Studio was used to connect to BigQuery and render the reports.,Improved customer experience. More control on the data-pipelines. Centralized data in Cloud. Real-time analytics and quick decision making. Optimization and operational efficiency.,"Oracle GoldenGate, BigQuery, Data Studio (Looker Studio)"
TRM,AMER,Financial Services & Insurance (FSI),Data & Analytics,Business Intelligence for a Risk Management Giant,Real-time visualization dashboards on Looker using BigQuery.,"TRM enables risk management and compliance for a global community of financial institutions, cryptocurrency businesses and government agencies. As part of its management review, TRM wanted to have a self service BI Solution to consume actionable insights.",Looker was integrated with BigQuery tables as the data source for the visualization dashboards. Leveraged Looker capabilities to create real time dashboard that provides fully-managed rental homes and other critical business KPIs. Showcased Looker capabilities and user training to the business users.,110+ KPIs Visualized through looker. Looker trained engineers for continuous development.,"BigQuery, Looker"
CoinDCX,APAC,Financial Services & Insurance (FSI),Data & Analytics,CoinDCX wants to move from onPrem to AWS,Migrating cryptocurrency CSV and API data into AWS S3 and Looker dashboards.,CoinDCX collates all crypto currencies data from various sources on to AWS. Their historical data was available in CSV format. They were manually collating raw data from about 40 different apis and storing them in CSV files. Historical and Current year database were used for Analysis. Multiple reports were generated manually for analysing the Currency data.,"Created a single storage space (AWS S3) for collecting all currency data. Custom scripts were used for transforming existing data into structured format in S3. Created pipelines to fetch historical & incremental data from about 40 different APIs, & transform to enrich the raw json data. A Looker dashboard was created for real time reports for all type of transactions across all crypto tokens & various platforms.",Cost optimisation from on-premise setup. Centralized data helped to store large amount of data from various 3rd party sources. One database to verify all the transactions across all the platforms and various crypto currencies. Looker Dashboard helped save hours of manual report generation.,"AWS S3, Databricks, EC2, SSM, Looker"
Containerized and deployed API,AMER,"Telecommunications, Media, Entertainment & Gaming (TMEG)",Applied AI,Containerized and deployed API,LO-NET Accelerates Mortgage Disbursals with AI-powered Doc Processing for 99% Accuracy,LO-NET relied on manual processing of loan documents which led to inefficiencies and higher chance of errors This slowed down the mortgage closing process for both loan officers and borrowers,Pre-Trained DocAI to handle a wide variety of financial documents Implemented Smart Splitting & Classification to route different document types to the most suitable parser for accurate data extraction Developed custom logic for complex cases that tackled intricate situations & ensured complete data extraction Deployed Scalable Cloud Run API which allowed seamless integration,Achieved 99% accuracy in document categorization and 96% in field extraction Electronic data extraction minimizes human error and ensures consistent information retrieval Streamlined document handling leads to quicker loan approvals and closings,Cloud Storage
client,EMEA,Financial Services & Insurance (FSI),Applied AI,AI enabled chatbots,The client wanted to use a chatbot to automatically generate tasks in Jira automating and speeding up the manual process,Improving in house system Automated chatbot for creating tickets Bringing AI chatbot into workflow Better use of resources,Utilizing confluence documents and API documentation websites as the primary data source Integrating with JIRA to automatically create tickets based on user-reported issues Implement a natural language understanding (NLU) system to handle complex queries and maintain context across multiple turns Ensuring the chatbot can handle a growing user base and increasing data volumes.,Business teams can be used for more valuable tasks Faster process for logging issues Integration of AI with project management tooling Reduction of manual tasks and user error,Utilizing confluence documents and API documentation websites as the primary data source
This,APAC,Financial Services & Insurance (FSI),Applied AI,Multilingual IVR bot to route user conversations,"For live conversations, routing of calls & redirection to a human agent post understanding intent functionalities are implemented","BDO has the largest distribution network with over 1,700 operating branches and more than 5,500 teller machines nationwide BDO seeks to enable their customers by providing voice bot feature on their existing customer touchpoint This is to be enabled during the live conversations - text / speech (English/ Tagalog/ Taglish)","Analysis of flow to identify and group intents Creation of database, data ingestion Creation of dialogflow intents, entities, generators, webhook Set up transfer to agent/static IVR using Avaya payload and then call transfer to agent after `x' number of failures",BDO is now able to do agent authentication and intent identification seamlessly Human agent routing has been successfully implemented,DialogFlow
Using Searce,APAC,Financial Services & Insurance (FSI),Applied AI,Automating Approvals for Insurance Giant,"Using Searce's Recognic, built on top of Google's AI capabilities, for document AI for faster approvals and minimizing errors",Prolonged back-office process of policy issuance and claim approvals Regulatory non-compliance for customer identification and medical examination Large drop-out rate on online channels An underwriting overhead on the majority of the applications,Integrated Recognic with the front end mobile app used by insurance agents to verify supporting documents on users insurance applications in real-time.,"Real-time validation of data between application form and associated identity, financial and medical examination documents. Significantly enhanced speed and efficiency of underwriting and approval processes by harnessing the agility and machine learning capabilities of Vision API 30% increase in number of applications processed within same timeframe",
Capturing Accurate Addresses for Card Delivery,APAC,Financial Services & Insurance (FSI),Location Intelligence,Capturing Accurate Addresses for Card Delivery,Use GMP to accurately identify correct customer address to deliver credit cards hassle free,"Required data-rich, accurate mapping technology to identify customer locations Capturing the Lat/Long and address string to make the card delivery experience smooth Using Maps data to identify the landmarks near to customer location",Assisted with utilizing places autocomplete api to get an accurate address string for the customer address Consulted on the APIs to be used across their mobile application Helped utilising places details data to identify nearby landmark to the customer Helped optimize the usage on Google Maps Platform,"Customers can accurately pinpoint their location in a map through functionality made available through the Geocoding API, in conjunction with the JavaScript API. Address details made more robust by getting landmark information through places details API",Places Details API Geocoding API Autocomplete API
Field Rep The company,APAC,Financial Services & Insurance (FSI),Location Intelligence,Accurate Fuel Reimbursements for Employees,Use GMP to accurately calculate travelled distance and thus calculate fuel reimbursement accurately,Inaccuracy in calculation of distance traveled by the Field Rep The company wanted to track the location of their Field Reps,Used Google Maps Platform instead of calculating the aerial distance Through a small POC we showed them the difference between the current implementation and using the Google Maps Platform,Accurately calculate the distance traveled by the Field reps Streamlined the process of Fuel reimbursement using Google Maps Platform,Directions API Geocoding API
ICICI Lombard team,APAC,Financial Services & Insurance (FSI),Location Intelligence,Shipment Tracking for a Financial Giant,Use GMP to track shipments and calculate distance to be travelled by vehicles,"ICICI Lombard team wanted to track their shipments and vehicles. Visualize the current location on top of a mapping solution. Also, calculate the distance to be traveled by the vehicles",Searce proposed to go for Google Maps Platform to implement the above mentioned use case Searce conducted a kick start workshop to explain how Google Maps APIs work and also provided the necessary billing support,Accurately locate the shipment location and easily calculate the distance traveled between desired points,Directions API Geocoding API
SEA,APAC,Financial Services & Insurance (FSI),Location Intelligence,Finding Money Easily with SEA's Fintech Giant,Use Places API to find ATMs easily. Use location based fraud prevention for better security,Make liquid money easily accessible to the people. Reduce bottlenecks at traditional banking a ATMs Centralize internet banking services on a single smartphone base scalable platforms,Helped SoCash leverage the powerful places database provided by Google to find the nearest cash distribution vendor Assisted them to develop a robust fraud detection mechanisms that guarantees the safety of its own platform,"Achieved monthly growth rate of 22% (CMGR) Reduced the soCash platform response times to enable the processing of hundreds of thousands of events Expanded to the densely populated countries in SEA - Singapore, Malaysia and Thailand",Directions API Geocoding API Roads API Routes
API Management for Payments Giant,APAC,Financial Services & Insurance (FSI),Software Engineering,API Management for Payments Giant,"Leverage Apigee for API development, exposing core FinTech Services as APIs","Expose existing FinTech Services as secured APIs through Apigee Standardize API Specifications OWASP Threat Protection Time window based Spike Arrest Configuration, Tier Based Quotas Quick merchant onboarding",Delivered API management platform using Apigee Edge Implemented OWASP Threat Protection using Apigee Security & Traffic Management Policies Implemented Time Window based Spike Arrest Configurations & Tier based quotas using OOTB & Customizations Standardized OpenAPI Specifications using REST API Design Best Practices Quick onboarding & API Access through Integrated Developer Portal,"41 Merchant Onboarding, Payment Gateway & PoS Standardized APIs available for easy Integration FSS Backend systems got secured against OWASP Threats & Spikes Easy Merchant Onboarding & quick API Access APIs as Products for enhanced API Customer experience & easy integrations",
Landing Zone and Banking Application,EMEA,Financial Services & Insurance (FSI),Software Engineering,Landing Zone and Banking Application,Beyla now have a Landing Zone and a first stage banking application,"A light version of the PWA App Integration with SaaSacada BaaS solution AI Integration for processing documents, client data and generating recommendations for SMEs UI of the MVP",Best practice Google Cloud foundation Deployed a working application with APIs Created the UI and backend infrastructure Gemini Integration with the application and testing multimodal solutions,New secure Landing Zone on Google Cloud Working Application for MVP Integration with Gemini Backend and UI documented and handed over Cloud Storage,"Cloud DNS, Cloud Run"
CI-CD Pipeline Automations Ayoconnect,APAC,Financial Services & Insurance (FSI),Software Engineering,API Management for Open-Banking,"API Gateway for Open-Banking APIs - OWASP Threats Protection, Developer Portal, CI-CD Pipeline Automations","Ayoconnect is Indonesia's largest financial API platform. As a next step in their growth journey, they envisioned adding a set of Open Banking APIs readily available to developers and businesses. To fulfil this use case they decided to use Apigee X as their API gateway and management platform.","External API proxies on Apigee X with private target at Cloud Run. Security Hardening with VPC Service Controls. OAuth 2.0 authentication and payload optimization. DDoS, Spike and Injection Protection. Testing and deployment automations with Cloud Build Orchestrations. Developer Portal - API documentation and API Key Generation.","Searce solved for an unprecedented use case of externally exposing Apigee API Proxies targeted to internal Cloud Run services. The Developer Portal catered to a smooth developer experienceUser Sign-Up, API Keys Generation and API Documentation. CI-CD pipelines helped their developers test and integrate their APIs with Apigee in an automated fashion, hence saving time and reducing errors.",Apigee X Cloud Run Cloud Build Mocha
Migration of workloads,EMEA,"Travel, Transportation & Logistics (TTL)",Infra Modernization,Migration of workloads-GCP to reduce overall TCO,Migration of workloads to GCP & Optimized DevOps Lifecycle phases using the latest in container management technology.,Reduce Overall TCO Observability Optimise DevOps Lifecycle phases while using the latest in container management technology.,Migration of workloads to AutoPilot GKE cluster on GCP Monitoring Dashboards for quick view of Infra and insights for optimization provided. Implemented Automated CICD pipeline using Github Actions which deploys to multiple environments.,"Successful completion of project scope within timelines of the project. Zero Rollbacks in Production migration and cutover. 4 additional services were onboarded and migrated within the project timelines. Autopilot, fully automated CICD pipeline, Helm Templates, Doppler integration, monorepo architecture resulting in faster onboarding of new service helped in reducing the toil.",
